rank,title,actors,publish_date,country,types,score,vote_count,avatar_url,detail_url
1,憨豆先生精选辑,"['罗温·艾金森', '保罗·布朗', '理查德·布赖尔斯', 'Angus Deayton', '罗宾·德里斯科尔', '卡罗琳·昆汀', 'Rudolph Walker', '理查德·威尔逊']",1997,['英国'],['喜剧'],9.6,4509,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2354179225.webp,https://movie.douban.com/subject/5133063/
2,美丽人生,"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克', '玛丽萨·帕雷德斯', '霍斯特·布赫霍尔茨', '利迪娅·阿方西', '朱利亚娜·洛约迪切', '亚美利哥·丰塔尼', '彼得·德·席尔瓦', '弗朗西斯·古佐', '拉法埃拉·莱博罗尼', '克劳迪奥·阿方西', '吉尔·巴罗尼', '马西莫·比安奇', '恩尼奥·孔萨尔维', '吉安卡尔洛·科森蒂诺', '阿伦·克雷格', '汉尼斯·赫尔曼', '弗兰科·梅斯科利尼', '安东尼奥·普雷斯特', '吉娜·诺维勒', '理查德·塞梅尔', '安德烈提多娜', '迪尔克·范登贝格', '奥梅罗·安东努蒂', '沈晓谦', '张欣']",2020-01-03,['意大利'],"['剧情', '喜剧', '爱情', '战争']",9.5,932153,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.webp,https://movie.douban.com/subject/1292063/
3,福尔摩斯二世,"['巴斯特·基顿', '凯瑟琳·麦奎尔', '乔·基顿', 'Ward Crane', 'Jane Connelly', 'George Davis', 'Doris Deane', 'Betsy Ann Hisle', '丘比·摩根', 'John Patrick', 'Ford West']",1924-04-21,['美国'],"['喜剧', '动作', '爱情']",9.5,11707,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.webp,https://movie.douban.com/subject/1303408/
4,黄子华栋笃笑之金盆𠺘口,['黄子华'],2018-07-06,['中国香港'],['喜剧'],9.5,1287,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2527089368.webp,https://movie.douban.com/subject/30203557/
5,拽妹黛薇儿要上大学了没,"['John Lynn', 'Amir Williams', '马克·汤普森', 'Becca Lish', '温迪胡普斯', '莎拉·德鲁', 'Bart Fasbender', '费舍·史蒂芬斯', '吉奥弗瑞·阿伦德']",2002-01-21,['USA'],"['剧情', '喜剧', '动画']",9.4,1343,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529714509.webp,https://movie.douban.com/subject/2054458/
6,摩登时代,"['查理·卓别林', '宝莲·高黛', '亨利·伯格曼', '蒂尼·桑福德', '切斯特·康克林', '汉克·曼', '斯坦利·布莱斯通', '阿尔·欧内斯特·加西亚', '理查德·亚历山大', '塞西尔·雷诺兹', '米拉·麦金尼', '默多克·麦夸里', '威尔弗雷德·卢卡斯', '爱德华·勒桑', '弗雷德·马拉泰斯塔', '萨米·斯坦', '特德·奥利弗', '诺曼·安斯利', '博比·巴伯', '海尼·康克林', '格洛丽亚·德黑文', '帕特·弗莱厄蒂', '弗兰克·哈格尼', '帕特·哈蒙', '劳埃德·英格拉哈姆', '沃尔特·詹姆斯', '爱德华·金博尔', '杰克·洛', '巴迪·梅辛杰', '布鲁斯·米切尔', '弗兰克·莫兰', '詹姆斯·C·莫顿', '路易·纳托', 'J·C·纽金特', '拉斯·鲍威尔', '约翰兰德', '哈里·威尔逊']",1936-02-25,['美国'],"['剧情', '喜剧', '爱情']",9.3,188369,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.webp,https://movie.douban.com/subject/1294371/
7,城市之光,"['查理·卓别林', '弗吉尼亚·切瑞尔', '佛罗伦斯·李', '亨利·伯格曼', '珍·哈露', '哈利·迈耶斯', '约翰兰德', '罗伯特·帕里什', '罗伯特·格雷夫斯']",1931-01-30,['美国'],"['喜剧', '剧情', '爱情']",9.3,83115,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.webp,https://movie.douban.com/subject/1293908/
8,极品基老伴：完结篇,"['伊恩·麦克莱恩', '德里克·雅各比', '弗朗西斯·德·拉·图瓦', '伊万·瑞恩', '玛西娅·沃伦', '菲利普-沃斯', '艾琳·阿特金斯', '弗兰西斯·巴贝', '阿利斯泰尔·布拉默', '理查德·加德']",2016-06-19,['英国'],"['喜剧', '同性']",9.3,18720,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509440210.webp,https://movie.douban.com/subject/26700818/
9,西蒙·阿姆斯特尔：顺其自然,['西蒙·阿姆斯特尔'],2010,['英国'],['喜剧'],9.3,2275,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184490255.webp,https://movie.douban.com/subject/6309377/
10,丹尼尔·斯洛斯：现场表演,['丹尼尔·斯洛斯'],2018-09-11,['美国'],['喜剧'],9.3,2005,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2536540213.webp,https://movie.douban.com/subject/30312425/
